id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,meta_source_county,meta_source_city,history.2026-09-20.event,history.2026-09-20.price,history.2026-09-20.listingType,history.2026-09-20.listedDate,history.2026-09-20.removedDate,history.2026-09-20.daysOnMarket,history.2026-08-28.event,history.2026-08-28.price,history.2026-08-28.listingType,history.2026-08-28.listedDate,history.2026-08-28.removedDate,history.2026-08-28.daysOnMarket,history.2026-07-31.event,history.2026-07-31.price,history.2026-07-31.listingType,history.2026-07-31.listedDate,history.2026-07-31.removedDate,history.2026-07-31.daysOnMarket,lotSize,yearBuilt,hoa.fee,history.2026-09-11.event,history.2026-09-11.price,history.2026-09-11.listingType,history.2026-09-11.listedDate,history.2026-09-11.removedDate,history.2026-09-11.daysOnMarket,history.2024-09-09.event,history.2024-09-09.price,history.2024-09-09.listingType,history.2024-09-09.listedDate,history.2024-09-09.removedDate,history.2024-09-09.daysOnMarket,history.2026-09-10.event,history.2026-09-10.price,history.2026-09-10.listingType,history.2026-09-10.listedDate,history.2026-09-10.removedDate,history.2026-09-10.daysOnMarket,history.2024-12-18.event,history.2024-12-18.price,history.2024-12-18.listingType,history.2024-12-18.listedDate,history.2024-12-18.removedDate,history.2024-12-18.daysOnMarket,history.2026-05-31.event,history.2026-05-31.price,history.2026-05-31.listingType,history.2026-05-31.listedDate,history.2026-05-31.removedDate,history.2026-05-31.daysOnMarket,history.2024-10-25.event,history.2024-10-25.price,history.2024-10-25.listingType,history.2024-10-25.listedDate,history.2024-10-25.removedDate,history.2024-10-25.daysOnMarket,history.2026-07-16.event,history.2026-07-16.price,history.2026-07-16.listingType,history.2026-07-16.listedDate,history.2026-07-16.removedDate,history.2026-07-16.daysOnMarket,history.2026-07-21.event,history.2026-07-21.price,history.2026-07-21.listingType,history.2026-07-21.listedDate,history.2026-07-21.removedDate,history.2026-07-21.daysOnMarket,history.2024-09-22.event,history.2024-09-22.price,history.2024-09-22.listingType,history.2024-09-22.listedDate,history.2024-09-22.removedDate,history.2024-09-22.daysOnMarket,history.2024-10-19.event,history.2024-10-19.price,history.2024-10-19.listingType,history.2024-10-19.listedDate,history.2024-10-19.removedDate,history.2024-10-19.daysOnMarket,history.2025-10-22.event,history.2025-10-22.price,history.2025-10-22.listingType,history.2025-10-22.listedDate,history.2025-10-22.removedDate,history.2025-10-22.daysOnMarket,history.2026-03-14.event,history.2026-03-14.price,history.2026-03-14.listingType,history.2026-03-14.listedDate,history.2026-03-14.removedDate,history.2026-03-14.daysOnMarket,history.2026-04-22.event,history.2026-04-22.price,history.2026-04-22.listingType,history.2026-04-22.listedDate,history.2026-04-22.removedDate,history.2026-04-22.daysOnMarket,history.2026-06-02.event,history.2026-06-02.price,history.2026-06-02.listingType,history.2026-06-02.listedDate,history.2026-06-02.removedDate,history.2026-06-02.daysOnMarket,history.2026-08-26.event,history.2026-08-26.price,history.2026-08-26.listingType,history.2026-08-26.listedDate,history.2026-08-26.removedDate,history.2026-08-26.daysOnMarket,history.2025-12-04.event,history.2025-12-04.price,history.2025-12-04.listingType,history.2025-12-04.listedDate,history.2025-12-04.removedDate,history.2025-12-04.daysOnMarket,history.2026-08-10.event,history.2026-08-10.price,history.2026-08-10.listingType,history.2026-08-10.listedDate,history.2026-08-10.removedDate,history.2026-08-10.daysOnMarket,history.2026-08-14.event,history.2026-08-14.price,history.2026-08-14.listingType,history.2026-08-14.listedDate,history.2026-08-14.removedDate,history.2026-08-14.daysOnMarket,history.2026-08-31.event,history.2026-08-31.price,history.2026-08-31.listingType,history.2026-08-31.listedDate,history.2026-08-31.removedDate,history.2026-08-31.daysOnMarket,history.2026-09-06.event,history.2026-09-06.price,history.2026-09-06.listingType,history.2026-09-06.listedDate,history.2026-09-06.removedDate,history.2026-09-06.daysOnMarket,history.2025-02-23.event,history.2025-02-23.price,history.2025-02-23.listingType,history.2025-02-23.listedDate,history.2025-02-23.removedDate,history.2025-02-23.daysOnMarket,history.2025-02-28.event,history.2025-02-28.price,history.2025-02-28.listingType,history.2025-02-28.listedDate,history.2025-02-28.removedDate,history.2025-02-28.daysOnMarket,history.2025-01-22.event,history.2025-01-22.price,history.2025-01-22.listingType,history.2025-01-22.listedDate,history.2025-01-22.removedDate,history.2025-01-22.daysOnMarket,history.2026-04-24.event,history.2026-04-24.price,history.2026-04-24.listingType,history.2026-04-24.listedDate,history.2026-04-24.removedDate,history.2026-04-24.daysOnMarket,history.2026-08-04.event,history.2026-08-04.price,history.2026-08-04.listingType,history.2026-08-04.listedDate,history.2026-08-04.removedDate,history.2026-08-04.daysOnMarket,history.2025-08-13.event,history.2025-08-13.price,history.2025-08-13.listingType,history.2025-08-13.listedDate,history.2025-08-13.removedDate,history.2025-08-13.daysOnMarket,history.2025-04-29.event,history.2025-04-29.price,history.2025-04-29.listingType,history.2025-04-29.listedDate,history.2025-04-29.removedDate,history.2025-04-29.daysOnMarket,history.2025-04-04.event,history.2025-04-04.price,history.2025-04-04.listingType,history.2025-04-04.listedDate,history.2025-04-04.removedDate,history.2025-04-04.daysOnMarket,history.2026-04-21.event,history.2026-04-21.price,history.2026-04-21.listingType,history.2026-04-21.listedDate,history.2026-04-21.removedDate,history.2026-04-21.daysOnMarket,history.2026-05-19.event,history.2026-05-19.price,history.2026-05-19.listingType,history.2026-05-19.listedDate,history.2026-05-19.removedDate,history.2026-05-19.daysOnMarket,history.2026-06-04.event,history.2026-06-04.price,history.2026-06-04.listingType,history.2026-06-04.listedDate,history.2026-06-04.removedDate,history.2026-06-04.daysOnMarket,history.2026-06-26.event,history.2026-06-26.price,history.2026-06-26.listingType,history.2026-06-26.listedDate,history.2026-06-26.removedDate,history.2026-06-26.daysOnMarket,history.2025-03-19.event,history.2025-03-19.price,history.2025-03-19.listingType,history.2025-03-19.listedDate,history.2025-03-19.removedDate,history.2025-03-19.daysOnMarket,history.2026-01-16.event,history.2026-01-16.price,history.2026-01-16.listingType,history.2026-01-16.listedDate,history.2026-01-16.removedDate,history.2026-01-16.daysOnMarket,history.2024-10-16.event,history.2024-10-16.price,history.2024-10-16.listingType,history.2024-10-16.listedDate,history.2024-10-16.removedDate,history.2024-10-16.daysOnMarket,history.2025-10-08.event,history.2025-10-08.price,history.2025-10-08.listingType,history.2025-10-08.listedDate,history.2025-10-08.removedDate,history.2025-10-08.daysOnMarket,history.2026-03-07.event,history.2026-03-07.price,history.2026-03-07.listingType,history.2026-03-07.listedDate,history.2026-03-07.removedDate,history.2026-03-07.daysOnMarket,history.2026-06-05.event,history.2026-06-05.price,history.2026-06-05.listingType,history.2026-06-05.listedDate,history.2026-06-05.removedDate,history.2026-06-05.daysOnMarket,history.2025-03-25.event,history.2025-03-25.price,history.2025-03-25.listingType,history.2025-03-25.listedDate,history.2025-03-25.removedDate,history.2025-03-25.daysOnMarket,history.2025-07-12.event,history.2025-07-12.price,history.2025-07-12.listingType,history.2025-07-12.listedDate,history.2025-07-12.removedDate,history.2025-07-12.daysOnMarket,history.2025-10-04.event,history.2025-10-04.price,history.2025-10-04.listingType,history.2025-10-04.listedDate,history.2025-10-04.removedDate,history.2025-10-04.daysOnMarket,history.2025-11-05.event,history.2025-11-05.price,history.2025-11-05.listingType,history.2025-11-05.listedDate,history.2025-11-05.removedDate,history.2025-11-05.daysOnMarket,history.2025-12-20.event,history.2025-12-20.price,history.2025-12-20.listingType,history.2025-12-20.listedDate,history.2025-12-20.removedDate,history.2025-12-20.daysOnMarket,history.2026-01-07.event,history.2026-01-07.price,history.2026-01-07.listingType,history.2026-01-07.listedDate,history.2026-01-07.removedDate,history.2026-01-07.daysOnMarket,history.2026-02-08.event,history.2026-02-08.price,history.2026-02-08.listingType,history.2026-02-08.listedDate,history.2026-02-08.removedDate,history.2026-02-08.daysOnMarket,history.2026-02-27.event,history.2026-02-27.price,history.2026-02-27.listingType,history.2026-02-27.listedDate,history.2026-02-27.removedDate,history.2026-02-27.daysOnMarket,history.2026-04-04.event,history.2026-04-04.price,history.2026-04-04.listingType,history.2026-04-04.listedDate,history.2026-04-04.removedDate,history.2026-04-04.daysOnMarket,history.2026-05-18.event,history.2026-05-18.price,history.2026-05-18.listingType,history.2026-05-18.listedDate,history.2026-05-18.removedDate,history.2026-05-18.daysOnMarket,history.2026-06-22.event,history.2026-06-22.price,history.2026-06-22.listingType,history.2026-06-22.listedDate,history.2026-06-22.removedDate,history.2026-06-22.daysOnMarket,history.2025-05-03.event,history.2025-05-03.price,history.2025-05-03.listingType,history.2025-05-03.listedDate,history.2025-05-03.removedDate,history.2025-05-03.daysOnMarket,history.2024-11-23.event,history.2024-11-23.price,history.2024-11-23.listingType,history.2024-11-23.listedDate,history.2024-11-23.removedDate,history.2024-11-23.daysOnMarket,history.2026-03-24.event,history.2026-03-24.price,history.2026-03-24.listingType,history.2026-03-24.listedDate,history.2026-03-24.removedDate,history.2026-03-24.daysOnMarket,history.2025-07-11.event,history.2025-07-11.price,history.2025-07-11.listingType,history.2025-07-11.listedDate,history.2025-07-11.removedDate,history.2025-07-11.daysOnMarket,history.2025-10-18.event,history.2025-10-18.price,history.2025-10-18.listingType,history.2025-10-18.listedDate,history.2025-10-18.removedDate,history.2025-10-18.daysOnMarket,history.2024-11-02.event,history.2024-11-02.price,history.2024-11-02.listingType,history.2024-11-02.listedDate,history.2024-11-02.removedDate,history.2024-11-02.daysOnMarket,history.2026-08-06.event,history.2026-08-06.price,history.2026-08-06.listingType,history.2026-08-06.listedDate,history.2026-08-06.removedDate,history.2026-08-06.daysOnMarket,history.2026-08-21.event,history.2026-08-21.price,history.2026-08-21.listingType,history.2026-08-21.listedDate,history.2026-08-21.removedDate,history.2026-08-21.daysOnMarket,history.2026-02-12.event,history.2026-02-12.price,history.2026-02-12.listingType,history.2026-02-12.listedDate,history.2026-02-12.removedDate,history.2026-02-12.daysOnMarket,history.2026-06-19.event,history.2026-06-19.price,history.2026-06-19.listingType,history.2026-06-19.listedDate,history.2026-06-19.removedDate,history.2026-06-19.daysOnMarket,history.2026-03-27.event,history.2026-03-27.price,history.2026-03-27.listingType,history.2026-03-27.listedDate,history.2026-03-27.removedDate,history.2026-03-27.daysOnMarket,history.2025-09-10.event,history.2025-09-10.price,history.2025-09-10.listingType,history.2025-09-10.listedDate,history.2025-09-10.removedDate,history.2025-09-10.daysOnMarket,history.2023-05-03.event,history.2023-05-03.price,history.2023-05-03.listingType,history.2023-05-03.listedDate,history.2023-05-03.removedDate,history.2023-05-03.daysOnMarket,history.2026-05-14.event,history.2026-05-14.price,history.2026-05-14.listingType,history.2026-05-14.listedDate,history.2026-05-14.removedDate,history.2026-05-14.daysOnMarket,history.2026-05-26.event,history.2026-05-26.price,history.2026-05-26.listingType,history.2026-05-26.listedDate,history.2026-05-26.removedDate,history.2026-05-26.daysOnMarket,history.2026-06-15.event,history.2026-06-15.price,history.2026-06-15.listingType,history.2026-06-15.listedDate,history.2026-06-15.removedDate,history.2026-06-15.daysOnMarket,history.2026-08-03.event,history.2026-08-03.price,history.2026-08-03.listingType,history.2026-08-03.listedDate,history.2026-08-03.removedDate,history.2026-08-03.daysOnMarket,history.2025-06-25.event,history.2025-06-25.price,history.2025-06-25.listingType,history.2025-06-25.listedDate,history.2025-06-25.removedDate,history.2025-06-25.daysOnMarket,history.2025-07-30.event,history.2025-07-30.price,history.2025-07-30.listingType,history.2025-07-30.listedDate,history.2025-07-30.removedDate,history.2025-07-30.daysOnMarket,history.2026-04-28.event,history.2026-04-28.price,history.2026-04-28.listingType,history.2026-04-28.listedDate,history.2026-04-28.removedDate,history.2026-04-28.daysOnMarket,history.2025-06-19.event,history.2025-06-19.price,history.2025-06-19.listingType,history.2025-06-19.listedDate,history.2025-06-19.removedDate,history.2025-06-19.daysOnMarket,history.2026-01-20.event,history.2026-01-20.price,history.2026-01-20.listingType,history.2026-01-20.listedDate,history.2026-01-20.removedDate,history.2026-01-20.daysOnMarket,history.2026-02-10.event,history.2026-02-10.price,history.2026-02-10.listingType,history.2026-02-10.listedDate,history.2026-02-10.removedDate,history.2026-02-10.daysOnMarket,history.2026-03-06.event,history.2026-03-06.price,history.2026-03-06.listingType,history.2026-03-06.listedDate,history.2026-03-06.removedDate,history.2026-03-06.daysOnMarket
"18136-Cypress-Bay-Pkwy,-Land-O-Lakes,-FL-34638","18136 Cypress Bay Pkwy, Land O Lakes, FL 34638",18136 Cypress Bay Pkwy,,Land O Lakes,FL,12,34638,Pasco,101,28.302351,-82.515594,Single Family,3,2.0,1271,Active,1890,Standard,2026-09-20T00:00:00.000Z,,2024-08-02T00:00:00.000Z,2026-09-20T03:08:35.688Z,1,Pasco,Land O Lakes,Rental Listing,1890,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18447-Red-Willow-Way,-Land-O-Lakes,-FL-34638","18447 Red Willow Way, Land O Lakes, FL 34638",18447 Red Willow Way,,Land O Lakes,FL,12,34638,Pasco,101,28.301633,-82.51064,Single Family,3,2.0,2150,Active,2480,Standard,2026-09-20T00:00:00.000Z,,2020-12-12T01:03:52.073Z,2026-09-20T03:08:35.687Z,1,Pasco,Land O Lakes,Rental Listing,2480,Standard,2026-09-20T00:00:00.000Z,,1,Rental Listing,2790.0,Standard,2026-08-28T00:00:00.000Z,2026-08-29T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18525-Dajana-Ave,-Land-O-Lakes,-FL-34638","18525 Dajana Ave, Land O Lakes, FL 34638",18525 Dajana Ave,,Land O Lakes,FL,12,34638,Pasco,101,28.299055,-82.50938,Single Family,3,2.0,1489,Active,2050,Standard,2026-09-20T00:00:00.000Z,,2021-01-21T01:15:55.037Z,2026-09-20T03:08:35.684Z,1,Pasco,Land O Lakes,Rental Listing,2050,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,Rental Listing,2125.0,Standard,2026-07-31T00:00:00.000Z,2026-08-01T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4313-Longshore-Dr,-Land-O-Lakes,-FL-34639","4313 Longshore Dr, Land O Lakes, FL 34639",4313 Longshore Dr,,Land O Lakes,FL,12,34639,Pasco,101,28.219834,-82.4347,Single Family,3,2.0,1227,Active,1820,Standard,2026-09-20T00:00:00.000Z,,2021-02-20T01:52:15.962Z,2026-09-20T03:08:35.683Z,1,Pasco,Land O Lakes,Rental Listing,1820,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,4030.0,1995.0,40.0,Rental Listing,1885.0,Standard,2026-09-11T00:00:00.000Z,2026-09-12T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24146-Cross-Ln,-Land-O-Lakes,-FL-34639","24146 Cross Ln, Land O Lakes, FL 34639",24146 Cross Ln,,Land O Lakes,FL,12,34639,Pasco,101,28.188647,-82.416422,Single Family,3,2.0,1608,Active,2425,Standard,2026-09-20T00:00:00.000Z,,2020-12-15T02:15:22.817Z,2026-09-20T03:08:35.675Z,1,Pasco,Land O Lakes,Rental Listing,2425,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25924-Terrawood-Loop,-Land-O-Lakes,-FL-34639","25924 Terrawood Loop, Land O Lakes, FL 34639",25924 Terrawood Loop,,Land O Lakes,FL,12,34639,Pasco,101,28.2221,-82.387022,Single Family,3,2.0,1340,Active,2050,Standard,2026-09-20T00:00:00.000Z,,2023-10-28T00:00:00.000Z,2026-09-20T03:08:35.673Z,1,Pasco,Land O Lakes,Rental Listing,2050,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,Rental Listing,2100.0,Standard,2026-07-31T00:00:00.000Z,2026-08-01T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25151-Seven-Rivers-Cir,-Land-O-Lakes,-FL-34639","25151 Seven Rivers Cir, Land O Lakes, FL 34639",25151 Seven Rivers Cir,,Land O Lakes,FL,12,34639,Pasco,101,28.206089,-82.401321,Single Family,3,2.0,1440,Active,2120,Standard,2026-09-20T00:00:00.000Z,,2023-06-27T00:00:00.000Z,2026-09-20T03:08:35.670Z,1,Pasco,Land O Lakes,Rental Listing,2120,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2070.0,Standard,2024-09-09T00:00:00.000Z,2024-10-10T00:00:00.000Z,31.0,Rental Listing,2165.0,Standard,2026-09-10T00:00:00.000Z,2026-09-11T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18588-Hunters-Meadow-Walk,-Land-O-Lakes,-FL-34638","18588 Hunters Meadow Walk, Land O Lakes, FL 34638",18588 Hunters Meadow Walk,,Land O Lakes,FL,12,34638,Pasco,101,28.304242,-82.508984,Single Family,3,2.0,1753,Active,2345,Standard,2026-09-20T00:00:00.000Z,,2022-08-05T04:07:17.603Z,2026-09-20T03:08:35.668Z,1,Pasco,Land O Lakes,Rental Listing,2345,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2220.0,Standard,2024-12-18T00:00:00.000Z,2026-08-01T00:00:00.000Z,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21402-Preservation-Dr,-Land-O-Lakes,-FL-34638","21402 Preservation Dr, Land O Lakes, FL 34638",21402 Preservation Dr,,Land O Lakes,FL,12,34638,Pasco,101,28.239543,-82.462171,Single Family,4,2.5,2509,Active,2765,Standard,2026-09-20T00:00:00.000Z,,2026-05-23T00:00:00.000Z,2026-09-20T03:08:35.664Z,1,Pasco,Land O Lakes,Rental Listing,2765,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,3070.0,Standard,2026-05-31T00:00:00.000Z,2026-06-01T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23217-Bayou-Grove-St,-Land-O-Lakes,-FL-34639","23217 Bayou Grove St, Land O Lakes, FL 34639",23217 Bayou Grove St,,Land O Lakes,FL,12,34639,Pasco,101,28.206479,-82.431978,Single Family,3,2.0,1532,Active,2315,Standard,2026-09-20T00:00:00.000Z,,2024-10-24T00:00:00.000Z,2026-09-20T03:08:35.648Z,1,Pasco,Land O Lakes,Rental Listing,2315,Standard,2026-09-20T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2260.0,Standard,2024-10-25T00:00:00.000Z,2024-12-17T00:00:00.000Z,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
