formattedAddress,city,zipCode,price,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,latitude,longitude,listedDate
"23307 Abercorn Ln, Land O Lakes, FL 34639",Land O Lakes,34639,3400,Single Family,4,3.0,3077,,28.209847,-82.427647,2026-08-03
"21027 Voyager Blvd, Apt K8, Land O Lakes, FL 34638",Land O Lakes,34638,1325,Condo,2,1.0,800,,28.216344,-82.467837,2026-08-03
"4786 Ballantrae Blvd, Land O Lakes, FL 34638",Land O Lakes,34638,3200,Single Family,3,2.0,2101,2020.0,28.223013,-82.522079,2026-08-03
"5743 Eden Ln, Land O Lakes, FL 34639",Land O Lakes,34639,2060,Single Family,3,2.0,1288,,28.240479,-82.449326,2026-08-03
"20781 Monza Loop, Land O Lakes, FL 34638",Land O Lakes,34638,3000,Single Family,5,3.0,2615,2022.0,28.258096,-82.479214,2026-08-03
"3247 Chessington Dr, Land O Lakes, FL 34638",Land O Lakes,34638,3355,Single Family,6,3.0,3089,2006.0,28.20473,-82.502528,2026-08-03
"17515 Sandgate Ct, Land O Lakes, FL 34638",Land O Lakes,34638,2400,Single Family,3,3.0,2112,,28.205368,-82.525882,2026-08-03
"18267 Turning Leaf Cir, Land O Lakes, FL 34638",Land O Lakes,34638,2095,Apartment,3,2.0,1516,2022.0,28.31371,-82.513599,2026-08-03
"17051 Lixberry Way, Land O Lakes, FL 34638",Land O Lakes,34638,2470,Single Family,4,2.5,1892,2008.0,28.208982,-82.533038,2026-08-03
"9640 Simeon Dr, Land O Lakes, FL 34638",Land O Lakes,34638,2275,Single Family,3,3.0,1860,,28.297885,-82.503712,2026-08-03
"18447 Red Willow Way, Land O Lakes, FL 34638",Land O Lakes,34638,2675,Single Family,3,2.0,2150,,28.301633,-82.51064,2026-08-03
"5641 Sheer Bliss Loop, Land O Lakes, FL 34639",Land O Lakes,34639,2345,Single Family,4,2.0,1938,,28.239608,-82.442033,2026-08-03
"2330 Tioga Dr, Land O Lakes, FL 34639",Land O Lakes,34639,2295,Single Family,3,2.0,1448,,28.190896,-82.416006,2026-08-03
"17745 Ayrshire Blvd, Land O Lakes, FL 34638",Land O Lakes,34638,2795,Single Family,4,2.5,2539,,28.202116,-82.521777,2026-08-03
"22744 Robins Nest Ct, Land O Lakes, FL 34639",Land O Lakes,34639,3345,Single Family,4,3.0,2930,,28.214529,-82.439319,2026-08-03
"4315 Marchmont Blvd, Land O Lakes, FL 34638",Land O Lakes,34638,2390,Single Family,3,2.0,1837,,28.22046,-82.496215,2026-08-03
"18025 Cypress Bay Pkwy, Land O Lakes, FL 34638",Land O Lakes,34638,2150,Single Family,3,2.0,1484,2008.0,28.303555,-82.516462,2026-08-03
"4313 Longshore Dr, Land O Lakes, FL 34639",Land O Lakes,34639,1965,Single Family,3,2.0,1227,1995.0,28.219834,-82.4347,2026-08-03
"7108 Kendall Heath Way, Land O Lakes, FL 34637",Land O Lakes,34637,2195,Single Family,4,2.0,1415,,28.260858,-82.452532,2026-08-03
"7742 Citrus Blossom Dr, Land O Lakes, FL 34637",Land O Lakes,34637,2115,Single Family,3,2.0,1359,2003.0,28.270541,-82.46746,2026-08-03
"4615 Winding River Way, Land O Lakes, FL 34639",Land O Lakes,34639,1855,Condo,3,2.5,1536,2005.0,28.221848,-82.386729,2026-08-03
"17634 Terrazzo Way, Land O Lakes, FL 34638",Land O Lakes,34638,2700,Townhouse,3,2.0,1755,2017.0,28.218118,-82.525136,2026-08-03
"9253 Black Thorn Loop, Land O Lakes, FL 34638",Land O Lakes,34638,2355,Single Family,4,2.0,1824,2005.0,28.292476,-82.495643,2026-08-03
"10503 Farm Hill Ave, Land O Lakes, FL 34638",Land O Lakes,34638,3800,Single Family,4,3.0,2756,2025.0,28.309803,-82.52367,2026-08-03
"22392 Bellini Cir, Land O Lakes, FL 34639",Land O Lakes,34639,2820,Single Family,4,3.0,2245,2023.0,28.215788,-82.444596,2026-08-03
"29942 Morningmist Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2375,Single Family,4,2.0,1665,1998.0,28.183667,-82.32279,2026-08-03
"1430 Maximilian Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2765,Single Family,3,2.0,1690,1995.0,28.178011,-82.330814,2026-08-03
"34335 Lodge Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,1850,Single Family,3,2.0,1456,,28.201079,-82.248291,2026-08-03
"29828 Cooper Rd, Wesley Chapel, FL 33545",Wesley Chapel,33545,2300,Single Family,3,2.0,1440,,28.25093,-82.322623,2026-08-03
"30319 Birdhouse Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,1970,Single Family,3,2.0,1158,2004.0,28.24735,-82.314636,2026-08-03
"30057 Southwell Ln, Wesley Chapel, FL 33543",Wesley Chapel,33543,2250,Townhouse,3,2.5,1853,2018.0,28.195153,-82.320166,2026-08-03
"31260 Penny Surf Loop, Wesley Chapel, FL 33545",Wesley Chapel,33545,2250,Single Family,3,2.0,1531,,28.276095,-82.299464,2026-08-03
"30151 Barnaby Ln, Wesley Chapel, FL 33543",Wesley Chapel,33543,1850,Single Family,3,2.5,1401,,28.177936,-82.31714,2026-08-03
"4272 Fennwood Ct, Wesley Chapel, FL 33543",Wesley Chapel,33543,2000,Townhouse,3,2.0,1636,2014.0,28.220272,-82.302049,2026-08-03
"3922 Washburn Pl, Wesley Chapel, FL 33543",Wesley Chapel,33543,2200,Single Family,3,2.0,1622,2006.0,28.214104,-82.30303,2026-08-03
"32557 Turtle Grace Loop, # 1, Wesley Chapel, FL 33545",Wesley Chapel,33545,2150,Townhouse,3,3.0,1768,,28.278385,-82.280075,2026-08-03
"28591 Cozy Creek Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,3295,Single Family,4,3.5,2798,2022.0,28.208367,-82.343779,2026-08-03
"32732 Yasmine Loop, Wesley Chapel, FL 33543",Wesley Chapel,33543,2400,Single Family,4,2.0,1950,2010.0,28.212615,-82.274784,2026-08-03
"1637 Maximilian Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2600,Single Family,3,2.0,1850,,28.180707,-82.333187,2026-08-03
"30513 Randall Manor St, Wesley Chapel, FL 33545",Wesley Chapel,33545,2300,Single Family,4,2.0,1665,2005.0,28.272239,-82.311941,2026-08-03
"8004 Pelican Reed Cir, Wesley Chapel, FL 33545",Wesley Chapel,33545,2310,Single Family,3,2.0,1504,,28.273697,-82.29977,2026-08-03
"3636 Grecko Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2170,Single Family,3,2.0,1528,,28.210263,-82.270887,2026-08-03
"1046 Napolean Way, Wesley Chapel, FL 33544",Wesley Chapel,33544,2450,Single Family,3,2.0,1882,2005.0,28.172498,-82.386895,2026-08-03
"30250 Rattana Ct, Wesley Chapel, FL 33545",Wesley Chapel,33545,2010,Single Family,3,2.0,1190,,28.250751,-82.315436,2026-08-03
"31832 Spoonflower Cir, Wesley Chapel, FL 33545",Wesley Chapel,33545,2595,Single Family,3,2.5,2260,,28.260435,-82.290134,2026-08-03
"30126 Rattana Ct, Wesley Chapel, FL 33545",Wesley Chapel,33545,2220,Single Family,4,2.5,1891,2005.0,28.250733,-82.317572,2026-08-03
"7726 Bulls Head Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,2940,Single Family,5,3.0,3393,,28.269927,-82.306525,2026-08-03
"6452 Tabogi Trl, Wesley Chapel, FL 33545",Wesley Chapel,33545,1925,Single Family,3,2.0,1292,2005.0,28.250478,-82.315811,2026-08-03
"28546 Tall Grass Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2345,Single Family,3,2.0,1626,,28.171462,-82.343946,2026-08-03
"30618 Double Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,1985,Single Family,3,2.0,1303,,28.243837,-82.30975,2026-08-03
"5847 Nebraska Ave, New Port Richey, FL 34652",New Port Richey,34652,1350,Single Family,1,1.0,900,,28.24995,-82.717369,2026-08-03
"4282 Rudder Way, New Port Richey, FL 34652",New Port Richey,34652,2000,Single Family,3,2.0,1310,1978.0,28.227969,-82.743341,2026-08-03
"8913 Wood Lake Ct, New Port Richey, FL 34653",New Port Richey,34653,2295,Single Family,4,2.0,1190,,28.223478,-82.667477,2026-08-03
"4618 Audrey Ln, New Port Richey, FL 34652",New Port Richey,34652,1350,Apartment,2,1.0,750,,28.224907,-82.726746,2026-08-03
"5245 Amulet Dr, New Port Richey, FL 34652",New Port Richey,34652,1300,Condo,1,1.0,963,,28.235746,-82.732971,2026-08-03
"5525 Wahoo Ct, New Port Richey, FL 34652",New Port Richey,34652,2100,Townhouse,3,3.0,1607,2022.0,28.239613,-82.732902,2026-08-03
"6413 Sutters Mill Rd, # #fl, New Port Richey, FL 34653",New Port Richey,34653,1525,Single Family,3,2.0,1080,,28.220654,-82.70842,2026-08-03
"9101 Easthaven Ct, New Port Richey, FL 34655",New Port Richey,34655,2249,Single Family,3,2.0,1837,,28.238569,-82.664349,2026-08-03
"5227 Tangerine Dr, New Port Richey, FL 34652",New Port Richey,34652,1500,Single Family,2,1.5,996,1959.0,28.231786,-82.72758,2026-08-03
"3910 Glissade Dr, New Port Richey, FL 34652",New Port Richey,34652,1995,Single Family,3,2.0,1512,,28.215714,-82.744921,2026-08-03
"4916 Gulf Waters Dr, New Port Richey, FL 34652",New Port Richey,34652,2000,Townhouse,3,2.5,1607,2021.0,28.240394,-82.732445,2026-08-03
"7907 Osteen Rd, New Port Richey, FL 34653",New Port Richey,34653,1785,Single Family,3,2.0,1120,,28.272073,-82.682917,2026-08-03
"6029 Bayway Ct, New Port Richey, FL 34652",New Port Richey,34652,6100,Single Family,4,3.0,3064,1986.0,28.246584,-82.739911,2026-08-03
"7801 Glencoe Dr, New Port Richey, FL 34653",New Port Richey,34653,1965,Single Family,3,2.0,1532,,28.272178,-82.685944,2026-08-03
"6214 6216 Massachusetts Ave, New Port Richey, FL 34653",New Port Richey,34653,1300,Apartment,2,1.0,900,,28.258432,-82.711761,2026-08-03
"3516 Teeside Dr, New Port Richey, FL 34655",New Port Richey,34655,1850,Single Family,2,2.0,1288,1980.0,28.210341,-82.653832,2026-08-03
"2910 Yellowhammer Way, New Port Richey, FL 34655",New Port Richey,34655,2375,Single Family,3,2.5,1801,,28.201001,-82.673205,2026-08-03
"7726 Sue Ellen Dr, New Port Richey, FL 34668",New Port Richey,34668,1600,Single Family,2,1.0,864,1977.0,28.324806,-82.686522,2026-08-03
"7148 Ramor Ln, New Port Richey, FL 34653",New Port Richey,34653,1950,Single Family,3,2.0,1173,,28.261462,-82.712008,2026-08-03
"9351 Beaufort Ct, New Port Richey, FL 34654",New Port Richey,34654,2100,Single Family,3,2.0,1819,,28.293661,-82.619407,2026-08-03
"8459 Houndstooth Enclave Dr, New Port Richey, FL 34655",New Port Richey,34655,2499,Single Family,3,2.5,2319,,28.201583,-82.674988,2026-08-03
"7138 Bellaire Ter, New Port Richey, FL 34653",New Port Richey,34653,1350,Single Family,2,1.0,776,1978.0,28.261206,-82.704697,2026-08-03
"2917 Gridiron Isle, New Port Richey, FL 34655",New Port Richey,34655,2499,Single Family,3,2.5,2319,,28.201095,-82.672249,2026-08-03
"2848 Yellowhammer Way, New Port Richey, FL 34655",New Port Richey,34655,2349,Single Family,3,2.5,1801,,28.200135,-82.673199,2026-08-03
"5521 Executive Dr, Apt D5, New Port Richey, FL 34652",New Port Richey,34652,1459,Condo,2,2.0,1000,2006.0,28.239431,-82.717186,2026-08-03
"36148 Risa Michele St, Zephyrhills, FL 33541",Zephyrhills,33541,1850,Townhouse,3,2.0,1634,2026.0,28.231918,-82.219268,2026-08-03
"6851 Ripple Pond Loop, Zephyrhills, FL 33541",Zephyrhills,33541,1900,Single Family,2,2.0,1400,,28.256869,-82.209426,2026-08-03
"5215 Lochmead Ter, Zephyrhills, FL 33541",Zephyrhills,33541,1700,Single Family,2,2.0,1252,,28.233161,-82.236847,2026-08-03
"5410 4th St N, Unit B, Zephyrhills, FL 33542",Zephyrhills,33542,1900,Condo,4,1.0,0,,28.236292,-82.186516,2026-08-03
"35491 Shade Fern Ln, Zephyrhills, FL 33541",Zephyrhills,33541,2095,Single Family,3,2.0,1412,2022.0,28.249362,-82.229579,2026-08-03
"4920 17th St, Zephyrhills, FL 33542",Zephyrhills,33542,1000,Apartment,1,1.0,450,,28.229233,-82.174409,2026-08-03
"39132 Co Rd, # 54, Zephyrhills, FL 33542",Zephyrhills,33542,1400,Condo,2,2.0,864,,28.250528,-82.169083,2026-08-03
"5932 15th St, Zephyrhills, FL 33542",Zephyrhills,33542,1700,Single Family,3,2.0,1326,,28.244336,-82.176483,2026-08-03
"5617 10th St, Zephyrhills, FL 33542",Zephyrhills,33542,1395,Single Family,1,1.0,480,,28.239141,-82.180396,2026-08-03
"38944 New Dennison Ln, Zephyrhills, FL 33542",Zephyrhills,33542,1600,Single Family,3,2.0,534,1960.0,28.256956,-82.17202,2026-08-03
"4352 6th St, Zephyrhills, FL 33542",Zephyrhills,33542,1100,Single Family,1,1.0,494,,28.221304,-82.180807,2026-08-03
"6939 Shelby Lynn Way, Zephyrhills, FL 33542",Zephyrhills,33542,2399,Single Family,5,3.0,2256,,28.258099,-82.208208,2026-08-03
"37956 Dusty Saddle Ln, Zephyrhills, FL 33541",Zephyrhills,33541,2500,Single Family,4,2.5,2297,,28.28242,-82.190789,2026-08-03
"34990 Gravelly Dr, Zephyrhills, FL 33541",Zephyrhills,33541,2400,Single Family,4,2.5,1870,,28.198706,-82.238166,2026-08-03
"3189 Lytton Hall Dr, Zephyrhills, FL 33540",Zephyrhills,33540,2360,Single Family,4,2.0,1817,2020.0,28.203099,-82.161565,2026-08-03
"35227 Brienne St, Zephyrhills, FL 33541",Zephyrhills,33541,1980,Single Family,3,2.0,1501,2022.0,28.211616,-82.234544,2026-08-03
"5168 Crooked Ln, Zephyrhills, FL 33541",Zephyrhills,33541,1525,Single Family,1,1.0,600,,28.232575,-82.205306,2026-08-03
