id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,meta_source_county,meta_source_city,history.2026-08-04.event,history.2026-08-04.price,history.2026-08-04.listingType,history.2026-08-04.listedDate,history.2026-08-04.removedDate,history.2026-08-04.daysOnMarket,history.2026-03-14.event,history.2026-03-14.price,history.2026-03-14.listingType,history.2026-03-14.listedDate,history.2026-03-14.removedDate,history.2026-03-14.daysOnMarket,history.2026-04-22.event,history.2026-04-22.price,history.2026-04-22.listingType,history.2026-04-22.listedDate,history.2026-04-22.removedDate,history.2026-04-22.daysOnMarket,history.2026-06-02.event,history.2026-06-02.price,history.2026-06-02.listingType,history.2026-06-02.listedDate,history.2026-06-02.removedDate,history.2026-06-02.daysOnMarket,history.2026-07-26.event,history.2026-07-26.price,history.2026-07-26.listingType,history.2026-07-26.listedDate,history.2026-07-26.removedDate,history.2026-07-26.daysOnMarket,history.2026-06-18.event,history.2026-06-18.price,history.2026-06-18.listingType,history.2026-06-18.listedDate,history.2026-06-18.removedDate,history.2026-06-18.daysOnMarket,history.2025-01-24.event,history.2025-01-24.price,history.2025-01-24.listingType,history.2025-01-24.listedDate,history.2025-01-24.removedDate,history.2025-01-24.daysOnMarket,history.2025-03-07.event,history.2025-03-07.price,history.2025-03-07.listingType,history.2025-03-07.listedDate,history.2025-03-07.removedDate,history.2025-03-07.daysOnMarket,history.2025-05-07.event,history.2025-05-07.price,history.2025-05-07.listingType,history.2025-05-07.listedDate,history.2025-05-07.removedDate,history.2025-05-07.daysOnMarket,history.2025-05-17.event,history.2025-05-17.price,history.2025-05-17.listingType,history.2025-05-17.listedDate,history.2025-05-17.removedDate,history.2025-05-17.daysOnMarket,history.2026-03-16.event,history.2026-03-16.price,history.2026-03-16.listingType,history.2026-03-16.listedDate,history.2026-03-16.removedDate,history.2026-03-16.daysOnMarket,lotSize,history.2025-06-03.event,history.2025-06-03.price,history.2025-06-03.listingType,history.2025-06-03.listedDate,history.2025-06-03.removedDate,history.2025-06-03.daysOnMarket,history.2026-05-13.event,history.2026-05-13.price,history.2026-05-13.listingType,history.2026-05-13.listedDate,history.2026-05-13.removedDate,history.2026-05-13.daysOnMarket,history.2026-06-03.event,history.2026-06-03.price,history.2026-06-03.listingType,history.2026-06-03.listedDate,history.2026-06-03.removedDate,history.2026-06-03.daysOnMarket,history.2026-07-31.event,history.2026-07-31.price,history.2026-07-31.listingType,history.2026-07-31.listedDate,history.2026-07-31.removedDate,history.2026-07-31.daysOnMarket,history.2026-07-21.event,history.2026-07-21.price,history.2026-07-21.listingType,history.2026-07-21.listedDate,history.2026-07-21.removedDate,history.2026-07-21.daysOnMarket,history.2026-07-16.event,history.2026-07-16.price,history.2026-07-16.listingType,history.2026-07-16.listedDate,history.2026-07-16.removedDate,history.2026-07-16.daysOnMarket,hoa.fee,history.2025-06-01.event,history.2025-06-01.price,history.2025-06-01.listingType,history.2025-06-01.listedDate,history.2025-06-01.removedDate,history.2025-06-01.daysOnMarket,history.2025-07-25.event,history.2025-07-25.price,history.2025-07-25.listingType,history.2025-07-25.listedDate,history.2025-07-25.removedDate,history.2025-07-25.daysOnMarket,history.2025-04-08.event,history.2025-04-08.price,history.2025-04-08.listingType,history.2025-04-08.listedDate,history.2025-04-08.removedDate,history.2025-04-08.daysOnMarket,history.2026-07-20.event,history.2026-07-20.price,history.2026-07-20.listingType,history.2026-07-20.listedDate,history.2026-07-20.removedDate,history.2026-07-20.daysOnMarket,history.2025-05-24.event,history.2025-05-24.price,history.2025-05-24.listingType,history.2025-05-24.listedDate,history.2025-05-24.removedDate,history.2025-05-24.daysOnMarket,history.2025-06-22.event,history.2025-06-22.price,history.2025-06-22.listingType,history.2025-06-22.listedDate,history.2025-06-22.removedDate,history.2025-06-22.daysOnMarket,history.2025-07-28.event,history.2025-07-28.price,history.2025-07-28.listingType,history.2025-07-28.listedDate,history.2025-07-28.removedDate,history.2025-07-28.daysOnMarket,history.2026-04-20.event,history.2026-04-20.price,history.2026-04-20.listingType,history.2026-04-20.listedDate,history.2026-04-20.removedDate,history.2026-04-20.daysOnMarket,history.2026-05-15.event,history.2026-05-15.price,history.2026-05-15.listingType,history.2026-05-15.listedDate,history.2026-05-15.removedDate,history.2026-05-15.daysOnMarket,history.2026-07-05.event,history.2026-07-05.price,history.2026-07-05.listingType,history.2026-07-05.listedDate,history.2026-07-05.removedDate,history.2026-07-05.daysOnMarket,history.2024-10-17.event,history.2024-10-17.price,history.2024-10-17.listingType,history.2024-10-17.listedDate,history.2024-10-17.removedDate,history.2024-10-17.daysOnMarket,history.2024-10-25.event,history.2024-10-25.price,history.2024-10-25.listingType,history.2024-10-25.listedDate,history.2024-10-25.removedDate,history.2024-10-25.daysOnMarket,history.2025-04-22.event,history.2025-04-22.price,history.2025-04-22.listingType,history.2025-04-22.listedDate,history.2025-04-22.removedDate,history.2025-04-22.daysOnMarket,history.2025-06-19.event,history.2025-06-19.price,history.2025-06-19.listingType,history.2025-06-19.listedDate,history.2025-06-19.removedDate,history.2025-06-19.daysOnMarket,history.2025-04-01.event,history.2025-04-01.price,history.2025-04-01.listingType,history.2025-04-01.listedDate,history.2025-04-01.removedDate,history.2025-04-01.daysOnMarket,history.2025-01-02.event,history.2025-01-02.price,history.2025-01-02.listingType,history.2025-01-02.listedDate,history.2025-01-02.removedDate,history.2025-01-02.daysOnMarket,history.2025-06-23.event,history.2025-06-23.price,history.2025-06-23.listingType,history.2025-06-23.listedDate,history.2025-06-23.removedDate,history.2025-06-23.daysOnMarket,history.2024-09-23.event,history.2024-09-23.price,history.2024-09-23.listingType,history.2024-09-23.listedDate,history.2024-09-23.removedDate,history.2024-09-23.daysOnMarket,history.2024-10-18.event,history.2024-10-18.price,history.2024-10-18.listingType,history.2024-10-18.listedDate,history.2024-10-18.removedDate,history.2024-10-18.daysOnMarket,history.2024-10-11.event,history.2024-10-11.price,history.2024-10-11.listingType,history.2024-10-11.listedDate,history.2024-10-11.removedDate,history.2024-10-11.daysOnMarket,history.2024-10-23.event,history.2024-10-23.price,history.2024-10-23.listingType,history.2024-10-23.listedDate,history.2024-10-23.removedDate,history.2024-10-23.daysOnMarket,history.2026-07-09.event,history.2026-07-09.price,history.2026-07-09.listingType,history.2026-07-09.listedDate,history.2026-07-09.removedDate,history.2026-07-09.daysOnMarket,history.2026-06-08.event,history.2026-06-08.price,history.2026-06-08.listingType,history.2026-06-08.listedDate,history.2026-06-08.removedDate,history.2026-06-08.daysOnMarket,history.2025-05-03.event,history.2025-05-03.price,history.2025-05-03.listingType,history.2025-05-03.listedDate,history.2025-05-03.removedDate,history.2025-05-03.daysOnMarket,history.2026-05-29.event,history.2026-05-29.price,history.2026-05-29.listingType,history.2026-05-29.listedDate,history.2026-05-29.removedDate,history.2026-05-29.daysOnMarket,history.2026-06-15.event,history.2026-06-15.price,history.2026-06-15.listingType,history.2026-06-15.listedDate,history.2026-06-15.removedDate,history.2026-06-15.daysOnMarket,history.2024-11-11.event,history.2024-11-11.price,history.2024-11-11.listingType,history.2024-11-11.listedDate,history.2024-11-11.removedDate,history.2024-11-11.daysOnMarket,history.2024-12-19.event,history.2024-12-19.price,history.2024-12-19.listingType,history.2024-12-19.listedDate,history.2024-12-19.removedDate,history.2024-12-19.daysOnMarket,history.2025-06-11.event,history.2025-06-11.price,history.2025-06-11.listingType,history.2025-06-11.listedDate,history.2025-06-11.removedDate,history.2025-06-11.daysOnMarket,history.2025-07-27.event,history.2025-07-27.price,history.2025-07-27.listingType,history.2025-07-27.listedDate,history.2025-07-27.removedDate,history.2025-07-27.daysOnMarket,history.2024-08-26.event,history.2024-08-26.price,history.2024-08-26.listingType,history.2024-08-26.listedDate,history.2024-08-26.removedDate,history.2024-08-26.daysOnMarket,history.2026-03-27.event,history.2026-03-27.price,history.2026-03-27.listingType,history.2026-03-27.listedDate,history.2026-03-27.removedDate,history.2026-03-27.daysOnMarket,history.2026-06-10.event,history.2026-06-10.price,history.2026-06-10.listingType,history.2026-06-10.listedDate,history.2026-06-10.removedDate,history.2026-06-10.daysOnMarket,history.2024-10-22.event,history.2024-10-22.price,history.2024-10-22.listingType,history.2024-10-22.listedDate,history.2024-10-22.removedDate,history.2024-10-22.daysOnMarket,history.2026-03-17.event,history.2026-03-17.price,history.2026-03-17.listingType,history.2026-03-17.listedDate,history.2026-03-17.removedDate,history.2026-03-17.daysOnMarket,history.2026-05-30.event,history.2026-05-30.price,history.2026-05-30.listingType,history.2026-05-30.listedDate,history.2026-05-30.removedDate,history.2026-05-30.daysOnMarket,history.2026-03-31.event,history.2026-03-31.price,history.2026-03-31.listingType,history.2026-03-31.listedDate,history.2026-03-31.removedDate,history.2026-03-31.daysOnMarket,history.2026-04-15.event,history.2026-04-15.price,history.2026-04-15.listingType,history.2026-04-15.listedDate,history.2026-04-15.removedDate,history.2026-04-15.daysOnMarket,history.2025-03-31.event,history.2025-03-31.price,history.2025-03-31.listingType,history.2025-03-31.listedDate,history.2025-03-31.removedDate,history.2025-03-31.daysOnMarket,history.2026-03-03.event,history.2026-03-03.price,history.2026-03-03.listingType,history.2026-03-03.listedDate,history.2026-03-03.removedDate,history.2026-03-03.daysOnMarket,history.2026-03-26.event,history.2026-03-26.price,history.2026-03-26.listingType,history.2026-03-26.listedDate,history.2026-03-26.removedDate,history.2026-03-26.daysOnMarket,history.2026-04-09.event,history.2026-04-09.price,history.2026-04-09.listingType,history.2026-04-09.listedDate,history.2026-04-09.removedDate,history.2026-04-09.daysOnMarket,history.2026-05-23.event,history.2026-05-23.price,history.2026-05-23.listingType,history.2026-05-23.listedDate,history.2026-05-23.removedDate,history.2026-05-23.daysOnMarket,history.2026-05-31.event,history.2026-05-31.price,history.2026-05-31.listingType,history.2026-05-31.listedDate,history.2026-05-31.removedDate,history.2026-05-31.daysOnMarket,history.2026-05-05.event,history.2026-05-05.price,history.2026-05-05.listingType,history.2026-05-05.listedDate,history.2026-05-05.removedDate,history.2026-05-05.daysOnMarket,history.2024-11-02.event,history.2024-11-02.price,history.2024-11-02.listingType,history.2024-11-02.listedDate,history.2024-11-02.removedDate,history.2024-11-02.daysOnMarket,history.2026-06-26.event,history.2026-06-26.price,history.2026-06-26.listingType,history.2026-06-26.listedDate,history.2026-06-26.removedDate,history.2026-06-26.daysOnMarket,history.2025-05-27.event,history.2025-05-27.price,history.2025-05-27.listingType,history.2025-05-27.listedDate,history.2025-05-27.removedDate,history.2025-05-27.daysOnMarket,history.2025-07-02.event,history.2025-07-02.price,history.2025-07-02.listingType,history.2025-07-02.listedDate,history.2025-07-02.removedDate,history.2025-07-02.daysOnMarket,history.2026-02-22.event,history.2026-02-22.price,history.2026-02-22.listingType,history.2026-02-22.listedDate,history.2026-02-22.removedDate,history.2026-02-22.daysOnMarket,history.2025-07-14.event,history.2025-07-14.price,history.2025-07-14.listingType,history.2025-07-14.listedDate,history.2025-07-14.removedDate,history.2025-07-14.daysOnMarket,history.2025-05-14.event,history.2025-05-14.price,history.2025-05-14.listingType,history.2025-05-14.listedDate,history.2025-05-14.removedDate,history.2025-05-14.daysOnMarket,history.2024-11-08.event,history.2024-11-08.price,history.2024-11-08.listingType,history.2024-11-08.listedDate,history.2024-11-08.removedDate,history.2024-11-08.daysOnMarket,history.2026-02-12.event,history.2026-02-12.price,history.2026-02-12.listingType,history.2026-02-12.listedDate,history.2026-02-12.removedDate,history.2026-02-12.daysOnMarket,history.2026-07-18.event,history.2026-07-18.price,history.2026-07-18.listingType,history.2026-07-18.listedDate,history.2026-07-18.removedDate,history.2026-07-18.daysOnMarket,history.2026-06-01.event,history.2026-06-01.price,history.2026-06-01.listingType,history.2026-06-01.listedDate,history.2026-06-01.removedDate,history.2026-06-01.daysOnMarket,history.2025-08-02.event,history.2025-08-02.price,history.2025-08-02.listingType,history.2025-08-02.listedDate,history.2025-08-02.removedDate,history.2025-08-02.daysOnMarket,history.2026-07-30.event,history.2026-07-30.price,history.2026-07-30.listingType,history.2026-07-30.listedDate,history.2026-07-30.removedDate,history.2026-07-30.daysOnMarket,history.2025-08-22.event,history.2025-08-22.price,history.2025-08-22.listingType,history.2025-08-22.listedDate,history.2025-08-22.removedDate,history.2025-08-22.daysOnMarket,history.2025-08-26.event,history.2025-08-26.price,history.2025-08-26.listingType,history.2025-08-26.listedDate,history.2025-08-26.removedDate,history.2025-08-26.daysOnMarket
"22477-Bellini-Cir,-Land-O-Lakes,-FL-34639","22477 Bellini Cir, Land O Lakes, FL 34639",22477 Bellini Cir,,Land O Lakes,FL,12,34639,Pasco,101,28.215544,-82.44547,Single Family,4,3.0,2245.0,2023.0,Active,2850,Standard,2026-08-04T00:00:00.000Z,,2026-07-29T00:00:00.000Z,2026-08-04T03:08:17.722Z,1,Pasco,Land O Lakes,Rental Listing,2850,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17515-Sandgate-Ct,-Land-O-Lakes,-FL-34638","17515 Sandgate Ct, Land O Lakes, FL 34638",17515 Sandgate Ct,,Land O Lakes,FL,12,34638,Pasco,101,28.205368,-82.525882,Single Family,3,3.0,2112.0,,Active,2400,Standard,2026-08-04T00:00:00.000Z,,2020-03-14T03:32:32.613Z,2026-08-04T03:08:17.715Z,1,Pasco,Land O Lakes,Rental Listing,2400,Standard,2026-08-04T00:00:00.000Z,,1,Rental Listing,2550.0,Standard,2026-03-14T00:00:00.000Z,2026-03-15T00:00:00.000Z,1.0,Rental Listing,2550.0,Standard,2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z,1.0,Rental Listing,2550.0,Standard,2026-06-02T00:00:00.000Z,2026-06-03T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9640-Simeon-Dr,-Land-O-Lakes,-FL-34638","9640 Simeon Dr, Land O Lakes, FL 34638",9640 Simeon Dr,,Land O Lakes,FL,12,34638,Pasco,101,28.297885,-82.503712,Single Family,3,3.0,1860.0,,Active,2275,Standard,2026-08-04T00:00:00.000Z,,2023-06-17T00:00:00.000Z,2026-08-04T03:08:17.713Z,1,Pasco,Land O Lakes,Rental Listing,2275,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,Rental Listing,2275.0,Standard,2026-07-26T00:00:00.000Z,2026-07-27T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7108-Kendall-Heath-Way,-Land-O-Lakes,-FL-34637","7108 Kendall Heath Way, Land O Lakes, FL 34637",7108 Kendall Heath Way,,Land O Lakes,FL,12,34637,Pasco,101,28.260858,-82.452532,Single Family,4,2.0,1415.0,,Active,2195,Standard,2026-08-04T00:00:00.000Z,,2026-06-18T00:00:00.000Z,2026-08-04T03:08:17.711Z,1,Pasco,Land O Lakes,Rental Listing,2195,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2195.0,Standard,2026-06-18T00:00:00.000Z,2026-06-19T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15833-Pond-Rush-Ct,-Land-O-Lakes,-FL-34638","15833 Pond Rush Ct, Land O Lakes, FL 34638",15833 Pond Rush Ct,,Land O Lakes,FL,12,34638,Pasco,101,28.311841,-82.553209,Single Family,3,2.0,2415.0,,Active,2195,Standard,2026-08-04T00:00:00.000Z,,2019-12-03T02:04:03.265Z,2026-08-04T03:08:17.708Z,1,Pasco,Land O Lakes,Rental Listing,2195,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2560.0,Standard,2025-01-24T00:00:00.000Z,2025-01-25T00:00:00.000Z,1.0,Rental Listing,2510.0,Standard,2025-03-07T00:00:00.000Z,2025-03-08T00:00:00.000Z,1.0,Rental Listing,2070.0,Standard,2025-05-07T00:00:00.000Z,2025-05-08T00:00:00.000Z,1.0,Rental Listing,2040.0,Standard,2025-05-17T00:00:00.000Z,2025-05-18T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18934-Randall-Pl,-Land-O-Lakes,-FL-34638","18934 Randall Pl, Land O Lakes, FL 34638",18934 Randall Pl,,Land O Lakes,FL,12,34638,Pasco,101,28.296631,-82.502448,Single Family,3,2.5,1545.0,2009.0,Active,2105,Standard,2026-08-04T00:00:00.000Z,,2020-01-04T00:49:51.435Z,2026-08-04T03:08:17.707Z,1,Pasco,Land O Lakes,Rental Listing,2105,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9253-Black-Thorn-Loop,-Land-O-Lakes,-FL-34638","9253 Black Thorn Loop, Land O Lakes, FL 34638",9253 Black Thorn Loop,,Land O Lakes,FL,12,34638,Pasco,101,28.292476,-82.495643,Single Family,4,2.0,1824.0,2005.0,Active,2355,Standard,2026-08-04T00:00:00.000Z,,2021-02-05T00:37:37.882Z,2026-08-04T03:08:17.706Z,1,Pasco,Land O Lakes,Rental Listing,2355,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18267-Turning-Leaf-Cir,-Land-O-Lakes,-FL-34638","18267 Turning Leaf Cir, Land O Lakes, FL 34638",18267 Turning Leaf Cir,,Land O Lakes,FL,12,34638,Pasco,101,28.31371,-82.513599,Apartment,3,2.0,1516.0,2022.0,Active,2095,Standard,2026-08-04T00:00:00.000Z,,2026-03-17T00:00:00.000Z,2026-08-04T03:08:17.705Z,1,Pasco,Land O Lakes,Rental Listing,2095,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rental Listing,2095.0,Standard,2026-03-16T00:00:00.000Z,2026-06-26T00:00:00.000Z,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22744-Robins-Nest-Ct,-Land-O-Lakes,-FL-34639","22744 Robins Nest Ct, Land O Lakes, FL 34639",22744 Robins Nest Ct,,Land O Lakes,FL,12,34639,Pasco,101,28.214529,-82.439319,Single Family,4,3.0,2930.0,,Active,3345,Standard,2026-08-04T00:00:00.000Z,,2020-07-17T03:35:37.422Z,2026-08-04T03:08:17.695Z,1,Pasco,Land O Lakes,Rental Listing,3345,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,Rental Listing,3345.0,Standard,2026-07-26T00:00:00.000Z,2026-07-27T00:00:00.000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19608-Timberbluff-Dr,-Land-O-Lakes,-FL-34638","19608 Timberbluff Dr, Land O Lakes, FL 34638",19608 Timberbluff Dr,,Land O Lakes,FL,12,34638,Pasco,101,28.290322,-82.499082,Single Family,5,3.0,2657.0,,Active,2895,Standard,2026-08-04T00:00:00.000Z,,2023-07-19T00:00:00.000Z,2026-08-04T03:08:17.694Z,1,Pasco,Land O Lakes,Rental Listing,2895,Standard,2026-08-04T00:00:00.000Z,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
